Genre	Category	Country Name	Country	Area 2	Area 1		IF(ISBLANK($C2), "", LOWER(VLOOKUP($C2, 'country master'!$B:$I,2, FALSE)) )
indonesian pop punk		Indonesia	id	South Eastern Asia	Asia		
indonesian r&b		Indonesia	id	South Eastern Asia	Asia		
industrial							
industrial hip hop							
industrial metal							
industrial rock							
instrumental bluegrass							
instrumental funk							
instrumental grime							
instrumental math rock							
instrumental post-rock							
intelligent dance music							
irish drill		Ireland	ie	Western Europe	Europe		
irish folk		Ireland	ie	Western Europe	Europe		
irish hip hop		Ireland	ie	Western Europe	Europe		
irish indie		Ireland	ie	Western Europe	Europe		
irish pop		Ireland	ie	Western Europe	Europe		
irish rock		Ireland	ie	Western Europe	Europe		
irish singer-songwriter		Ireland	ie	Western Europe	Europe		
iskelma		Germany	de	Western Europe	Europe		
isle of wight indie		United Kingdom of Great Britain and Northern Ireland	gb	Western Europe	Europe		
israeli hip hop		Israel	il	Middle Eastern	Middle Eastern		
israeli indie		Israel	il	Middle Eastern	Middle Eastern		
israeli jazz		Israel	il	Middle Eastern	Middle Eastern		
israeli mediterranean		Israel	il	Middle Eastern	Middle Eastern		
israeli pop		Israel	il	Middle Eastern	Middle Eastern		
israeli rock		Israel	il	Middle Eastern	Middle Eastern		
israeli singer-songwriter		Israel	il	Middle Eastern	Middle Eastern		
israeli trap		Israel	il	Middle Eastern	Middle Eastern		
italian alternative		Italy	it	Western Europe	Europe		
italian arena pop		Italy	it	Western Europe	Europe		
italian contemporary jazz		Italy	it	Western Europe	Europe		
italian electronica		Italy	it	Western Europe	Europe		
italian gothic		Italy	it	Western Europe	Europe		
italian gothic metal		Italy	it	Western Europe	Europe		
italian hip hop		Italy	it	Western Europe	Europe		
italian indie pop		Italy	it	Western Europe	Europe		
italian metal		Italy	it	Western Europe	Europe		
italian pop		Italy	it	Western Europe	Europe		
italian pop rock		Italy	it	Western Europe	Europe		
italian reggae		Italy	it	Western Europe	Europe		
italian ska		Italy	it	Western Europe	Europe		
italian tenor		Italy	it	Western Europe	Europe		
italian underground hip hop		Italy	it	Western Europe	Europe		
italo dance		Italy	it	Western Europe	Europe		
j-acoustic		Japan	jp	Eastern Asia	Asia		
j-core		Japan	jp	Eastern Asia	Asia		
j-dance		Japan	jp	Eastern Asia	Asia		
j-division		Japan	jp	Eastern Asia	Asia		
j-idol		Japan	jp	Eastern Asia	Asia		
j-indie		Japan	jp	Eastern Asia	Asia		
j-metal		Japan	jp	Eastern Asia	Asia		
j-pixie		Japan	jp	Eastern Asia	Asia		
j-pop		Japan	jp	Eastern Asia	Asia		
j-pop boy group		Japan	jp	Eastern Asia	Asia		
j-pop girl group		Japan	jp	Eastern Asia	Asia		
j-poprock		Japan	jp	Eastern Asia	Asia		
j-rap		Japan	jp	Eastern Asia	Asia		
j-rock		Japan	jp	Eastern Asia	Asia		
jacksonville indie		United States of America	us	Northern America	America		
jam band							
jamtronica							
jangle pop							
japanese alternative rock		Japan	jp	Eastern Asia	Asia		
japanese chillhop		Japan	jp	Eastern Asia	Asia		
japanese city pop		Japan	jp	Eastern Asia	Asia		
japanese classical		Japan	jp	Eastern Asia	Asia		
japanese classical performance		Japan	jp	Eastern Asia	Asia		
japanese dream pop		Japan	jp	Eastern Asia	Asia		
japanese electropop		Japan	jp	Eastern Asia	Asia		
japanese emo		Japan	jp	Eastern Asia	Asia		
japanese garage rock		Japan	jp	Eastern Asia	Asia		
japanese heavy metal		Japan	jp	Eastern Asia	Asia		
japanese indie folk		Japan	jp	Eastern Asia	Asia		
japanese indie pop		Japan	jp	Eastern Asia	Asia		
japanese indie rock		Japan	jp	Eastern Asia	Asia		
japanese instrumental		Japan	jp	Eastern Asia	Asia		
japanese jazz fusion		Japan	jp	Eastern Asia	Asia		
japanese math rock		Japan	jp	Eastern Asia	Asia		
japanese metalcore		Japan	jp	Eastern Asia	Asia		
japanese pop punk		Japan	jp	Eastern Asia	Asia		
japanese post-hardcore		Japan	jp	Eastern Asia	Asia		
japanese post-rock		Japan	jp	Eastern Asia	Asia		
japanese power metal		Japan	jp	Eastern Asia	Asia		
japanese psychedelic rock		Japan	jp	Eastern Asia	Asia		
japanese punk rock		Japan	jp	Eastern Asia	Asia		
japanese r&b		Japan	jp	Eastern Asia	Asia		
